;;1 = active;0 = inactive;;;;;;;;;;;;;;;;;
name;household;Clean;Communications;Cook;Cool;DHW;EMS;Entertainment;Fridge;Heat;Hot water;Light;Logistics;Security;Smart;Telework;Travel;Ventilation;Water;White
DH1-1;DH1-1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0
DH1-2;DH1-2;0;0;1;0;1;1;0;1;1;0;1;1;0;1;0;0;0;1;0
DH2-1;DH2-1;1;0;1;0;0;0;1;0;1;0;1;1;1;0;0;1;1;0;0
DH2-2;DH2-2;0;1;1;0;1;0;0;1;1;1;1;1;0;0;1;1;0;1;1
DH3-1;DH3-1;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0
DH3-2;DH3-2;0;0;1;0;0;0;0;1;0;1;1;0;1;1;0;0;0;1;0
SW1-1;SW1-1;0;0;1;0;1;1;1;1;1;1;0;0;1;0;1;0;0;1;1
SW1-2;SW1-2;0;1;1;0;1;0;1;1;1;0;1;0;0;0;1;1;0;1;1
SW2-1;SW2-1;0;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;1;1;1
SW2-2;SW2-2;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0
SW3-1;SW3-1;0;0;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;1;0
SW3-2;SW3-2;0;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;0;1;0
SW4-1;SW4-1;1;1;0;0;1;0;1;1;1;1;1;0;0;1;0;0;0;1;1
SW4-2;SW4-2;0;1;1;0;1;0;0;1;1;0;1;0;0;0;1;0;1;1;1
SW5-1;SW5-1;1;1;1;0;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0
SW5-2;SW5-2;0;0;1;1;1;0;0;0;1;0;1;0;0;0;1;1;0;1;0
SW6-1;SW6-1;0;1;0;0;1;1;0;1;1;0;1;0;1;1;0;1;0;1;1
SW6-2;SW6-2;0;1;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1;0
SW7-1;SW7-1;0;1;1;0;1;0;1;1;1;0;0;0;0;0;1;1;0;1;1
SW8-1;SW8-1;0;1;1;1;0;0;0;1;0;1;1;0;0;0;1;0;1;1;1
SW9-1;SW9-1;0;1;1;0;1;0;1;1;1;0;1;0;0;0;1;0;0;1;1
SW9-2;SW9-2;0;1;1;0;1;0;1;1;1;1;1;1;1;0;0;1;0;1;1
SW10-1;SW10-1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0
SW10-2;SW10-2;1;1;0;1;0;1;1;0;1;1;1;0;0;0;0;1;0;1;0
RH1-1;RH1-1;1;1;1;0;1;1;0;1;0;1;0;0;0;0;1;0;0;1;1
RH2-1;RH2-1;1;0;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;1;1
RH3-1;RH3-1;0;1;0;0;0;1;0;1;1;0;1;1;0;0;1;0;0;1;0
RH4-1;RH4-1;0;1;1;0;1;0;0;1;0;0;1;0;1;0;0;0;1;1;0
